0,29.4412461,34.841524,1@32@2,906119@15@2
1,29.44148,34.8417302,2@114@2,0@32@2
2,29.442425,34.8422023,3@203@2,1@114@2
3,29.444021,34.8432352,4@486@2,2@203@2
4,29.4476115,34.8460974,5@751@2,3@486@2
5,29.4529769,34.8508125,6@165@2,4@751@2
6,29.454155,34.8518639,7@13@2,5@165@2
7,29.4542612,34.8519374,6@13@2,906032@23@2
8,29.492126,34.8987881,9@30@2,829462@230@2
9,29.4920116,34.8990719,10@157@2,8@30@2
44799,32.9619526,35.0944266,568390@10@11,944798@17@11
